Periode,Produksi Karet Kering
1,50.00
2,45.50
3,40.10
4,38.80
5,47.20
6,43.50
7,45.80
8,41.70
9,38.40
10,38.20
11,39.90
12,53.20
13,51.80
14,47.10
15,41.60
16,40.20
17,48.90
18,45.10
19,47.50
20,43.30
21,39.90
22,39.70
23,41.40
24,55.10
25,54.85
26,49.92
27,43.98
28,42.44
29,51.67
30,47.61
31,50.26
32,45.87
33,42.25
34,41.93
35,43.76
36,58.27
37,55.80
38,50.79
39,44.74
40,43.17
41,52.57
42,48.44
43,51.14
44,46.67
45,42.99
46,42.65
47,44.52
48,59.28
49,60.04
50,52.15
51,51.24
52,47.67
53,51.00
54,47.04
55,54.10
56,54.16
57,54.23
58,60.25
59,62.97
60,75.57
61,52.70
62,51.30
63,49.90
64,46.30
65,51.30
66,51.10
67,52.10
68,46.00
69,39.53
70,41.90
71,42.50
72,45.12
73,35.68
74,35.56
75,35.84
76,31.90
77,41.58
78,41.31
79,35.21
80,31.00
81,74.03
82,72.08
83,63.85
84,78.73
85,37.54
86,37.44
87,37.76
88,33.60
89,43.52
90,43.30
91,37.01
92,32.64
93,77.04
94,75.05
95,66.53
96,81.79
97,39.23
98,39.36
99,39.66
100,35.23
101,45.53
102,45.36
103,38.87
104,34.32
105,80.08
106,78.15
107,69.33
108,85.09
109,40.16
110,40.01
111,39.15
112,36.73
113,42.75
114,42.95
115,40.28
116,35.32
117,49.37
118,51.21
119,48.77
120,52.39
